,X1,X2,X3,X4,frequency
compete every club chsaa,compete,every,club,chsaa,2
competition called good challenge,competition,called,good,challenge,2
competition countries fastgrowing economies,competition,countries,fastgrowing,economies,2
competitors always want good,competitors,always,want,good,2
complaint accused mediapart forgery,complaint,accused,mediapart,forgery,2
complaint department community affairs,complaint,department,community,affairs,2
completed million renovation emergency,completed,million,renovation,emergency,2
compliance costs plants stay,compliance,costs,plants,stay,2
computers alarm went pasadena,computers,alarm,went,pasadena,2
concealer clean finger tips,concealer,clean,finger,tips,2
concentration two decades end,concentration,two,decades,end,2
concern even training camp,concern,even,training,camp,2
concerned smoke wildfire going,concerned,smoke,wildfire,going,2
concerns kimberly ritter human,concerns,kimberly,ritter,human,2
concert series runs heavily,concert,series,runs,heavily,2
concessions last year supposedly,concessions,last,year,supposedly,2
conclusions many americans danger,conclusions,many,americans,danger,2
conditions either sick near,conditions,either,sick,near,2
confederations also held demonstrations,confederations,also,held,demonstrations,2
confidence judy garland always,confidence,judy,garland,always,2
confidently pictures made husband,confidently,pictures,made,husband,2
confirm report james manager,confirm,report,james,manager,2
congress courts need catch,congress,courts,need,catch,2
congress let tax breaks,congress,let,tax,breaks,2
congress three times serving,congress,three,times,serving,2
congressman lost political newcomer,congressman,lost,political,newcomer,2
connecticut blair walsh georgia,connecticut,blair,walsh,georgia,2
connecticut yacht basin puccio,connecticut,yacht,basin,puccio,2
connection deaths saturday name,connection,deaths,saturday,name,2
connection really just brand,connection,really,just,brand,2
connection sometimes feel like,connection,sometimes,feel,like,2
consecutive excursion postseason tends,consecutive,excursion,postseason,tends,2
consent agreement thus throws,consent,agreement,thus,throws,2
consent agreements treated outliers,consent,agreements,treated,outliers,2
consequence three people yoakum,consequence,three,people,yoakum,2
conservative democrat pennsylvanias longestserving,conservative,democrat,pennsylvanias,longestserving,2
conservative republicans college tend,conservative,republicans,college,tend,2
consider case term beginning,consider,case,term,beginning,2
consider five academically struggling,consider,five,academically,struggling,2
consider registering organ eye,consider,registering,organ,eye,2
considered tuesday long beach,considered,tuesday,long,beach,2
consolidate state pick transition,consolidate,state,pick,transition,2
constantly mixture comes rolling,constantly,mixture,comes,rolling,2
construction every firm engineering,construction,every,firm,engineering,2
construction flat explanatory prose,construction,flat,explanatory,prose,2
consulting outfit found percent,consulting,outfit,found,percent,2
contact infant ask doc,contact,infant,ask,doc,2
containing computers alarm went,containing,computers,alarm,went,2
contains high level nitrate,contains,high,level,nitrate,2
contains john colapintos elegant,contains,john,colapintos,elegant,2
contaminate ground water flake,contaminate,ground,water,flake,2
contaminate lakes posing human,contaminate,lakes,posing,human,2
contemplated mandates passed study,contemplated,mandates,passed,study,2
contemporary quilts information wwwohiohistoryorg,contemporary,quilts,information,wwwohiohistoryorg,2
content wait september law,content,wait,september,law,3
continue atlanta mike barrett,continue,atlanta,mike,barrett,2
continued baffling series injuries,continued,baffling,series,injuries,2
contracts include full notrade,contracts,include,full,notrade,2
contractual reasons thats likely,contractual,reasons,thats,likely,2
contributions appreciation shuttles free,contributions,appreciation,shuttles,free,2
controversial electric tours collaborated,controversial,electric,tours,collaborated,2
controversy subtitled remote amazonian,controversy,subtitled,remote,amazonian,2
convert millionsquarefoot facility manufacturing,convert,millionsquarefoot,facility,manufacturing,2
converted whopping six eight,converted,whopping,six,eight,2
convicted company executives face,convicted,company,executives,face,2
convince ncaa selection committee,convince,ncaa,selection,committee,2
cook county sheriffs spokesman,cook,county,sheriffs,spokesman,2
cook deneen hazard clothier,cook,deneen,hazard,clothier,2
cook ludin locklear rbi,cook,ludin,locklear,rbi,2
cook uncovered minutes overcook,cook,uncovered,minutes,overcook,2
cookies stolen thursday morning,cookies,stolen,thursday,morning,2
cool guy talked phone,cool,guy,talked,phone,2
cooper also wants ask,cooper,also,wants,ask,2
coral gables touts sophisticated,coral,gables,touts,sophisticated,2
corp stripped france triplea,corp,stripped,france,triplea,2
correspondent division bought loans,correspondent,division,bought,loans,2
cost month smaller employers,cost,month,smaller,employers,2
costs first year encourage,costs,first,year,encourage,2
costs money said thats,costs,money,said,thats,2
costs plants stay open,costs,plants,stay,open,2
costs well pay fine,costs,well,pay,fine,2
costumeparty first encounter replayed,costumeparty,first,encounter,replayed,2
cotillion classes heard cotillion,cotillion,classes,heard,cotillion,2
cotta youth dedication sandra,cotta,youth,dedication,sandra,2
couldn’t get job crossmark,couldn’t,get,job,crossmark,2
couldnt determine date first,couldnt,determine,date,first,2
couldnt find much wrigleyville,couldnt,find,much,wrigleyville,2
couldnt find tenants fill,couldnt,find,tenants,fill,2
council combination public working,council,combination,public,working,2
council council working public,council,council,working,public,2
council ems management llc,council,ems,management,llc,2
council monday passed resolutions,council,monday,passed,resolutions,2
council voted raising water,council,voted,raising,water,2
council working public often,council,working,public,often,2
countries fastgrowing economies johnson,countries,fastgrowing,economies,johnson,2
countries filled downtown hotels,countries,filled,downtown,hotels,2
country already canceled plans,country,already,canceled,plans,2
country brought external threat,country,brought,external,threat,2
country close seamless possible,country,close,seamless,possible,2
country recruiting season according,country,recruiting,season,according,2
country said rep zoe,country,said,rep,zoe,2
country song nyucknyucknyucked way,country,song,nyucknyucknyucked,way,2
countrys budget deficit last,countrys,budget,deficit,last,2
county commissioner jimmy dimora,county,commissioner,jimmy,dimora,2
county commissioner kilroy run,county,commissioner,kilroy,run,2
county executive charlie dooley,county,executive,charlie,dooley,2
county health department inspection,county,health,department,inspection,2
county late harvest sauvignon,county,late,harvest,sauvignon,2
county middlesex county shuttle,county,middlesex,county,shuttle,2
county municipal employees council,county,municipal,employees,council,2
county prosecutor hasten add,county,prosecutor,hasten,add,2
county sheriff’s office press,county,sheriff’s,office,press,2
county sheriffs office reported,county,sheriffs,office,reported,2
county sheriffs spokesman frank,county,sheriffs,spokesman,frank,2
county shuttle bus driver,county,shuttle,bus,driver,2
county stole donation box,county,stole,donation,box,2
county study notes use,county,study,notes,use,3
county superior court broken,county,superior,court,broken,2
county superior court judge,county,superior,court,judge,2
county volmert lone democratic,county,volmert,lone,democratic,2
county voters cast mail,county,voters,cast,mail,3
county’s central transfer station,county’s,central,transfer,station,2
countys chief forensic pathologist,countys,chief,forensic,pathologist,3
couple donated irises kansas,couple,donated,irises,kansas,2
couple hotbutton topics went,couple,hotbutton,topics,went,2
couple hours later back,couple,hours,later,back,2
courage went leafblad said,courage,went,leafblad,said,2
courics face startling told,courics,face,startling,told,2
course hes outstanding now,course,hes,outstanding,now,2
court consider case term,court,consider,case,term,2
court decision whether cuts,court,decision,whether,cuts,2
court judge suresh kait,court,judge,suresh,kait,2
court new delhi convicted,court,new,delhi,convicted,2
court related building code,court,related,building,code,2
court said monday jails,court,said,monday,jails,2
courthouse morning allowing enter,courthouse,morning,allowing,enter,2
courts need catch justices,courts,need,catch,justices,2
courts trial companies move,courts,trial,companies,move,2
covered blood throat cut,covered,blood,throat,cut,3
covered dense grove pinon,covered,dense,grove,pinon,2
covers image slain rapper,covers,image,slain,rapper,2
craft beermicrobrew fan alewife,craft,beermicrobrew,fan,alewife,2
craft check visitor center,craft,check,visitor,center,2
crafts presentations zoo yoyo,crafts,presentations,zoo,yoyo,2
craftsman farms also latest,craftsman,farms,also,latest,2
crank protests next week,crank,protests,next,week,2
crashed tower commercial jet,crashed,tower,commercial,jet,2
crazy goofy think guys,crazy,goofy,think,guys,2
create crystalclear experience future,create,crystalclear,experience,future,2
creations especially enjoyed savory,creations,especially,enjoyed,savory,2
credit cards accepted difficult,credit,cards,accepted,difficult,3
credit means circle many,credit,means,circle,many,2
credit rating kept many,credit,rating,kept,many,2
creek def ebrahimi regis,creek,def,ebrahimi,regis,2
creek vineyard soleil sonoma,creek,vineyard,soleil,sonoma,2
crested butte mountain guides,crested,butte,mountain,guides,2
crestfallen look courics face,crestfallen,look,courics,face,2
crew’s best looks night,crew’s,best,looks,night,2
crime scene strike force,crime,scene,strike,force,2
crimes supposed solved treated,crimes,supposed,solved,treated,2
crimes violent unrelated position,crimes,violent,unrelated,position,2
criminal charges monday police,criminal,charges,monday,police,2
criminal records particularly crimes,criminal,records,particularly,crimes,2
crisis europe downgrade us,crisis,europe,downgrade,us,2
crisis sort rattled confidence,crisis,sort,rattled,confidence,2
critical incidents men women,critical,incidents,men,women,2
criticized loading teams players,criticized,loading,teams,players,2
cross country close seamless,cross,country,close,seamless,2
crossed lines built stop,crossed,lines,built,stop,2
crossmark company provides sales,crossmark,company,provides,sales,2
crotch jokes multiplex america,crotch,jokes,multiplex,america,2
crowd baseball stars asked,crowd,baseball,stars,asked,2
crowded runner field forest,crowded,runner,field,forest,2
crude demand amid light,crude,demand,amid,light,2
crush crowds eardrumpiercing noise,crush,crowds,eardrumpiercing,noise,2
crushingly insecure never looked,crushingly,insecure,never,looked,2
culprit school funding proliferation,culprit,school,funding,proliferation,2
cultural center explores black,cultural,center,explores,black,2
cultural changes needed gm,cultural,changes,needed,gm,2
cultural enrichment barbara langsam,cultural,enrichment,barbara,langsam,2
cup brown sugar large,cup,brown,sugar,large,2
cup playoffs first time,cup,playoffs,first,time,2
cups day versus less,cups,day,versus,less,2
curb federal governments appetite,curb,federal,governments,appetite,2
curlymania quickly spread across,curlymania,quickly,spread,across,2
currently contemplated mandates passed,currently,contemplated,mandates,passed,2
currently laid across new,currently,laid,across,new,2
curtail public worker benefits,curtail,public,worker,benefits,2
curve overall experience level,curve,overall,experience,level,2
customarily spread bedroll stabbed,customarily,spread,bedroll,stabbed,3
cut countrys budget deficit,cut,countrys,budget,deficit,2
cut deputies first thought,cut,deputies,first,thought,3
cut five third quarter,cut,five,third,quarter,2
cut number fulltime elementary,cut,number,fulltime,elementary,2
cut stroke risk percent,cut,stroke,risk,percent,2
cute flashbacks violet toms,cute,flashbacks,violet,toms,2
cuts tax rebates resulted,cuts,tax,rebates,resulted,2
cutting jerusalem neighborhoods saying,cutting,jerusalem,neighborhoods,saying,2
cutting sodas cutting sugars,cutting,sodas,cutting,sugars,2
cutting sugars month two,cutting,sugars,month,two,2
cvc’s valley division title,cvc’s,valley,division,title,2
cvs can add ability,cvs,can,add,ability,2
cvs caremark administer drug,cvs,caremark,administer,drug,2
cycle thats hard work,cycle,thats,hard,work,2
d eisenhower president astonishing,d,eisenhower,president,astonishing,2
dallas game winning streak,dallas,game,winning,streak,2
dallas hinted odom return,dallas,hinted,odom,return,2
dampen bullying also hope,dampen,bullying,also,hope,2
dan seddon score runs,dan,seddon,score,runs,2
dan skoogs owns modern,dan,skoogs,owns,modern,2
dance knows wants goes,dance,knows,wants,goes,2
dancing weird music selection,dancing,weird,music,selection,3
dandrea napa valley muscat,dandrea,napa,valley,muscat,2
danger developing gestational diabetes,danger,developing,gestational,diabetes,2
danger financial trouble retirement,danger,financial,trouble,retirement,2
dangerous job chavez said,dangerous,job,chavez,said,2
danny hrapmann southern miss,danny,hrapmann,southern,miss,2
dantoni emergence jeremy lin,dantoni,emergence,jeremy,lin,2
dark forces intent bringing,dark,forces,intent,bringing,2
dark one baltimore national,dark,one,baltimore,national,2
dark shadows wrinkles step,dark,shadows,wrinkles,step,2
data last month legacy,data,last,month,legacy,2
date dj called requested,date,dj,called,requested,2
date first thursday event,date,first,thursday,event,2
date three years chrysler,date,three,years,chrysler,2
date went guy group,date,went,guy,group,2
daughter donna greenfield real,daughter,donna,greenfield,real,2
daughter robin blakeslee still,daughter,robin,blakeslee,still,2
david lee missed eight,david,lee,missed,eight,2
david teggart connecticut blair,david,teggart,connecticut,blair,2
david thompson sheriffs office,david,thompson,sheriffs,office,2
david weinsoff vice mayor,david,weinsoff,vice,mayor,2
davis famous afro rests,davis,famous,afro,rests,2
davis recipient guessed went,davis,recipient,guessed,went,2
dawn noon long fish,dawn,noon,long,fish,2
day also bring yet,day,also,bring,yet,2
day benching pounds times,day,benching,pounds,times,2
day concerned smoke wildfire,day,concerned,smoke,wildfire,2
day fan something get,day,fan,something,get,2
day versus less one,day,versus,less,one,2
day weekend viewed event,day,weekend,viewed,event,2
day woke id changing,day,woke,id,changing,2
days business casino portions,days,business,casino,portions,2
days call like let,days,call,like,let,2
days dawn noon long,days,dawn,noon,long,2
days he’s scoring points,days,he’s,scoring,points,2
days winner unavailable prize,days,winner,unavailable,prize,2
dead soaring monument future,dead,soaring,monument,future,2
deadspincom read maryland football,deadspincom,read,maryland,football,3
dealer immediately able confirm,dealer,immediately,able,confirm,2
dean students new post,dean,students,new,post,3
dear much spend matters,dear,much,spend,matters,2
death investigation identity yet,death,investigation,identity,yet,2
death rates following angioplasty,death,rates,following,angioplasty,2
death said sgt david,death,said,sgt,david,2
deaths saturday name released,deaths,saturday,name,released,2
debt ceiling crisis sort,debt,ceiling,crisis,sort,2
debt crisis europe downgrade,debt,crisis,europe,downgrade,2
debt end sophomore year,debt,end,sophomore,year,2
debt gradually wont take,debt,gradually,wont,take,2
decades end world war,decades,end,world,war,2
decarolis teach children birds,decarolis,teach,children,birds,2
decatur may pair tied,decatur,may,pair,tied,2
december fair haven resident,december,fair,haven,resident,3
decent outing dont seem,decent,outing,dont,seem,2
deception resulted losses greco,deception,resulted,losses,greco,2
decision accept butler easy,decision,accept,butler,easy,2
decision comes great player,decision,comes,great,player,2
decision consolidate state pick,decision,consolidate,state,pick,2
decision finally announced impact,decision,finally,announced,impact,2
decision hire ms larsen,decision,hire,ms,larsen,2
decision ive ever make,decision,ive,ever,make,2
decision whether cuts tax,decision,whether,cuts,tax,2
declared town hall knows,declared,town,hall,knows,3
decline sales last year,decline,sales,last,year,3
declines investment banking trading,declines,investment,banking,trading,2
dedicated officers willing go,dedicated,officers,willing,go,2
dedication sandra lauschke health,dedication,sandra,lauschke,health,2
deducting rest paycheck said,deducting,rest,paycheck,said,2
deeds ed grewach democrat,deeds,ed,grewach,democrat,2
deep breath sunday everyone,deep,breath,sunday,everyone,2
deeper cultural changes needed,deeper,cultural,changes,needed,2
def ebrahimi regis jesuit,def,ebrahimi,regis,jesuit,2
def lindberg smoky hill,def,lindberg,smoky,hill,2
def sanchez boulder ret,def,sanchez,boulder,ret,2
defeat ohio’s collective bargaining,defeat,ohio’s,collective,bargaining,2
defeat polls republican john,defeat,polls,republican,john,2
defeated animal kingdom halflength,defeated,animal,kingdom,halflength,2
defender league binder made,defender,league,binder,made,2
defiantly declared town hall,defiantly,declared,town,hall,3
definition marriage man woman,definition,marriage,man,woman,2
dekemper said made decision,dekemper,said,made,decision,2
del campos attorney delayed,del,campos,attorney,delayed,2
delanco shot trooper spokesman,delanco,shot,trooper,spokesman,2
delaware earlier month new,delaware,earlier,month,new,2
delaware ncaa said south,delaware,ncaa,said,south,2
delayed june time boards,delayed,june,time,boards,2
delhi convicted company executives,delhi,convicted,company,executives,2
demand amid light holiday,demand,amid,light,holiday,2
democracy action come fairfax,democracy,action,come,fairfax,2
democrat pennsylvanias longestserving congressman,democrat,pennsylvanias,longestserving,congressman,2
democrat running division associate,democrat,running,division,associate,2
democratic candidate auditor troy,democratic,candidate,auditor,troy,2
democratic nomination kilroy ousted,democratic,nomination,kilroy,ousted,2
democratic nomination presiding commissioner,democratic,nomination,presiding,commissioner,2
democratic nomination prosecutor royce,democratic,nomination,prosecutor,royce,2
demolition reconstruction rawlings reservoir,demolition,reconstruction,rawlings,reservoir,2
demonstrations groups vowed step,demonstrations,groups,vowed,step,2
deneen hazard clothier feeko,deneen,hazard,clothier,feeko,2
dennis harris lawyer manhattan,dennis,harris,lawyer,manhattan,2
dense grove pinon juniper,dense,grove,pinon,juniper,2
department community affairs last,department,community,affairs,last,2
department education former gov,department,education,former,gov,3
department gang unit larger,department,gang,unit,larger,2
department handle increasing numbers,department,handle,increasing,numbers,2
department inspection report schools,department,inspection,report,schools,2
depend bus provided working,depend,bus,provided,working,2
depends contact infant ask,depends,contact,infant,ask,2
depiero nurse said “,depiero,nurse,said,“,2
deployment began another tour,deployment,began,another,tour,2
deportation involved insurance fraud,deportation,involved,insurance,fraud,2
deportation pled guilty court,deportation,pled,guilty,court,2
depp green set real,depp,green,set,real,2
depps barnabas harrumphing never,depps,barnabas,harrumphing,never,2
deputies first thought dead,deputies,first,thought,dead,3
deputies found many pets,deputies,found,many,pets,2
derail retirement dream pirrello,derail,retirement,dream,pirrello,2
derby defeated animal kingdom,derby,defeated,animal,kingdom,2
described ships four footwide,described,ships,four,footwide,2
description one driven away,description,one,driven,away,2
design demolition reconstruction rawlings,design,demolition,reconstruction,rawlings,2
designed guide inspire quest,designed,guide,inspire,quest,2
desire really frustration level,desire,really,frustration,level,2
desired season taste salt,desired,season,taste,salt,2
desires two dozen people,desires,two,dozen,people,2
despite decline sales last,despite,decline,sales,last,3
despite dedicated officers willing,despite,dedicated,officers,willing,2
despite many naysayers think,despite,many,naysayers,think,2
destroyed documents authorities suspect,destroyed,documents,authorities,suspect,2
detail true maritime titanic,detail,TRUE,maritime,titanic,2
details every phase construction,details,every,phase,construction,2
detained boy monday spotted,detained,boy,monday,spotted,2
determine date first thursday,determine,date,first,thursday,2
detroit connection deaths saturday,detroit,connection,deaths,saturday,2
detroit structures represent said,detroit,structures,represent,said,2
detroits publicsector unions already,detroits,publicsector,unions,already,2
developed system collecting food,developed,system,collecting,food,2
developers bought chryslers former,developers,bought,chryslers,former,2
developing gestational diabetes excess,developing,gestational,diabetes,excess,2
development thursday means lower,development,thursday,means,lower,2
devoted africanamerican female quilters,devoted,africanamerican,female,quilters,2
devoted tag one eliminate,devoted,tag,one,eliminate,2
devoted tag quartertime position,devoted,tag,quartertime,position,2
dey pabich w –,dey,pabich,w,–,2
diabetes excess weight gain,diabetes,excess,weight,gain,2
dialed cockiness back bit,dialed,cockiness,back,bit,2
dick gregory perches next,dick,gregory,perches,next,2
didion plenty books heroes,didion,plenty,books,heroes,2
didn’t always go well,didn’t,always,go,well,2
didn’t always play great,didn’t,always,play,great,2
didnt break nashville thats,didnt,break,nashville,thats,2
didnt finish thought although,didnt,finish,thought,although,2
didnt test well pro,didnt,test,well,pro,2
died car teenager driving,died,car,teenager,driving,2
died wednesday afternoon police,died,wednesday,afternoon,police,2
diego public may like,diego,public,may,like,3
difference wants keep wnet,difference,wants,keep,wnet,2
different bars town just,different,bars,town,just,2
different conclusions many americans,different,conclusions,many,americans,2
different girlfriends one time,different,girlfriends,one,time,2
different guys team tight,different,guys,team,tight,2
difficult us one thing,difficult,us,one,thing,2
digital advances made todays,digital,advances,made,todays,2
dime turner said statement,dime,turner,said,statement,2
diminish dark shadows wrinkles,diminish,dark,shadows,wrinkles,2
diners enjoying drinks late,diners,enjoying,drinks,late,2
dining halls otherwise go,dining,halls,otherwise,go,2
dinner pm tuesdaysaturday full,dinner,pm,tuesdaysaturday,full,2
diphtheria pertussis — called,diphtheria,pertussis,—,called,2
director moores cancer center,director,moores,cancer,center,2
directors gave stars confidence,directors,gave,stars,confidence,2
disadvantage getting message out”,disadvantage,getting,message,out”,2
disc jockey played first,disc,jockey,played,first,2
discriminate people criminal records,discriminate,people,criminal,records,2
discussed concern even training,discussed,concern,even,training,2
dispatch controversy subtitled remote,dispatch,controversy,subtitled,remote,2
dispatch last week seek,dispatch,last,week,seek,2
dispensaries growers reported burglaries,dispensaries,growers,reported,burglaries,2
display dwts superfandom last,display,dwts,superfandom,last,3
disputed lewis’ account saying,disputed,lewis’,account,saying,2
disputes fundamental underpinning war,disputes,fundamental,underpinning,war,2
disruptive situation occurred pruitts,disruptive,situation,occurred,pruitts,2
distributing homeless shelters student,distributing,homeless,shelters,student,2
district police officer investigating,district,police,officer,investigating,2
district superintendent kirk lewis,district,superintendent,kirk,lewis,2
district won award excellence,district,won,award,excellence,2
district worked hard restore,district,worked,hard,restore,2
districtlevel employee devoted tag,districtlevel,employee,devoted,tag,2
districts collect tax revenue,districts,collect,tax,revenue,2
districts lead teacher writing,districts,lead,teacher,writing,2
districts nearly schools principals,districts,nearly,schools,principals,2
disturbing light number fellow,disturbing,light,number,fellow,2
ditsy see went law,ditsy,see,went,law,2
divided ruling penned justice,divided,ruling,penned,justice,2
dividends capital gains expire,dividends,capital,gains,expire,2
division associate circuit judge,division,associate,circuit,judge,2
division bought loans bulk,division,bought,loans,bulk,2
division income generator previous,division,income,generator,previous,2
divorce child matthew died,divorce,child,matthew,died,2
dj called requested song,dj,called,requested,song,2
documents authorities suspect explained,documents,authorities,suspect,explained,2
doeeyed little boy serious,doeeyed,little,boy,serious,2
doesnt already know im,doesnt,already,know,im,2
doesnt invest early used,doesnt,invest,early,used,3
doesnt like small also,doesnt,like,small,also,3
doesnt love beers tap,doesnt,love,beers,tap,2
dogs cats turned animal,dogs,cats,turned,animal,2
dogs need stuff next,dogs,need,stuff,next,2
dogs weve found something,dogs,weve,found,something,2
don harris paramount pictures,don,harris,paramount,pictures,2
don px gran reserva,don,px,gran,reserva,2
don season used state,don,season,used,state,3
don’t like way law,don’t,like,way,law,2
donald drops split impressive,donald,drops,split,impressive,3
donald hard routine rehearsal,donald,hard,routine,rehearsal,3
donald knows anything quickstep,donald,knows,anything,quickstep,3
donald last week tom,donald,last,week,tom,3
donald says undermarked donald,donald,says,undermarked,donald,3
donalds kicks flicks high,donalds,kicks,flicks,high,3
donated irises kansas state,donated,irises,kansas,state,2
donation box used passengers,donation,box,used,passengers,2
donations rockefeller park greenhouse,donations,rockefeller,park,greenhouse,2
donations totals fall short,donations,totals,fall,short,2
done said look video,done,said,look,video,2
donna greenfield real estate,donna,greenfield,real,estate,2
donor” depiero nurse said,donor”,depiero,nurse,said,2
dont care level swimming,dont,care,level,swimming,2
dont feel polished without,dont,feel,polished,without,2
dont go lacledes landing,dont,go,lacledes,landing,2
dont green day fan,dont,green,day,fan,2
dont let know feel,dont,let,know,feel,2
dont release last names,dont,release,last,names,2
dont seem score hit,dont,seem,score,hit,2
dont sit figure first,dont,sit,figure,first,2
dont technology built people,dont,technology,built,people,2
dont think country brought,dont,think,country,brought,2
dont think wed today,dont,think,wed,today,2
doobie brothers chicago joan,doobie,brothers,chicago,joan,2
dorm room broadcast intimate,dorm,room,broadcast,intimate,3
dot liquid concealer clean,dot,liquid,concealer,clean,2
doubles beck cook ludin,doubles,beck,cook,ludin,2
doubt ryan said month,doubt,ryan,said,month,2
doubt team pass chance,doubt,team,pass,chance,2
doughnuts new doughnuts good,doughnuts,new,doughnuts,good,2
douglas county prosecutor hasten,douglas,county,prosecutor,hasten,2
dove awards recording career,dove,awards,recording,career,2
dovetail dishes coming kitchen,dovetail,dishes,coming,kitchen,2
downed oviedo semifinal thomas,downed,oviedo,semifinal,thomas,2
downgrade us governments credit,downgrade,us,governments,credit,2
downtown hotels weekend traditionally,downtown,hotels,weekend,traditionally,2
downtown lawrence officer followed,downtown,lawrence,officer,followed,2
dozen people growing acres,dozen,people,growing,acres,2
dr near decatur may,dr,near,decatur,may,2
dr tony juguilon countys,dr,tony,juguilon,countys,3
dragging burden eight games,dragging,burden,eight,games,2
draggy theres tendency veer,draggy,theres,tendency,veer,2
dragon pearl dropped anchor,dragon,pearl,dropped,anchor,2
dramatically districts nearly schools,dramatically,districts,nearly,schools,2
drane nerys muller amelia,drane,nerys,muller,amelia,2
drastic steps later really,drastic,steps,later,really,2
draw outdoor summer concert,draw,outdoor,summer,concert,2
drawn monday notified email,drawn,monday,notified,email,2
dreams knew gray gift,dreams,knew,gray,gift,2
dress whatever clown suit,dress,whatever,clown,suit,3
dressing desired season taste,dressing,desired,season,taste,2
dressing taste mix add,dressing,taste,mix,add,2
drew still young faces,drew,still,young,faces,2
drew views fun see,drew,views,fun,see,2
drewniak disputed lewis’ account,drewniak,disputed,lewis’,account,2
drewniak spokesman christie said,drewniak,spokesman,christie,said,2
drink im huge craft,drink,im,huge,craft,2
drinks late lunch sun,drinks,late,lunch,sun,2
drive escaped passenger seat,drive,escaped,passenger,seat,2
drive islands takes us,drive,islands,takes,us,2
drive rough language elliptical,drive,rough,language,elliptical,2
driven away striking another,driven,away,striking,another,2
driver pulled garage officer,driver,pulled,garage,officer,2
driver put probation three,driver,put,probation,three,2
driver stolen car transported,driver,stolen,car,transported,2
drivers indycar american le,drivers,indycar,american,le,2
driveway driver pulled garage,driveway,driver,pulled,garage,2
driving courthouse morning allowing,driving,courthouse,morning,allowing,2
driving went road connecticut,driving,went,road,connecticut,2
dropped anchor night company,dropped,anchor,night,company,2
dropped era effectively keeping,dropped,era,effectively,keeping,2
drops split impressive comes,drops,split,impressive,comes,3
drubbings – typical stock,drubbings,–,typical,stock,2
drug benefits employers health,drug,benefits,employers,health,2
drug fu established treatment,drug,fu,established,treatment,2
drug oxaliplatin seven years,drug,oxaliplatin,seven,years,2
drugs geeks jocks hot,drugs,geeks,jocks,hot,2
dry creek vineyard soleil,dry,creek,vineyard,soleil,2
dry wine hard novice,dry,wine,hard,novice,2
drycleaning sorted mail went,drycleaning,sorted,mail,went,2
ducks reached several highquality,ducks,reached,several,highquality,2
duds elicited heated response,duds,elicited,heated,response,3
durant ave yearold institution,durant,ave,yearold,institution,2
dwellstudio linens vintage lamps,dwellstudio,linens,vintage,lamps,2
dwight d eisenhower president,dwight,d,eisenhower,president,2
dwts superfandom last week,dwts,superfandom,last,week,3
dylan sensational controversial electric,dylan,sensational,controversial,electric,2
earlier day concerned smoke,earlier,day,concerned,smoke,2
earlier month new hampshire,earlier,month,new,hampshire,2
early band backed dylan,early,band,backed,dylan,2
early understand enormity wasnt,early,understand,enormity,wasnt,2
early used said larry,early,used,said,larry,3
earn team first victory,earn,team,first,victory,2
earth goodwill toward nonnegotiable,earth,goodwill,toward,nonnegotiable,2
earth replaced serene memorial,earth,replaced,serene,memorial,2
easier said done said,easier,said,done,said,2
easier use microchips laser,easier,use,microchips,laser,2
easiest tanking decision comes,easiest,tanking,decision,comes,2
easily use longhandled tongs,easily,use,longhandled,tongs,4
east albuquerque mountainside behind,east,albuquerque,mountainside,behind,2
east india solera sherry,east,india,solera,sherry,2
east side lived suburb,east,side,lived,suburb,2
east wont affect private,east,wont,affect,private,2
easy japanese pitchers come,easy,japanese,pitchers,come,2
easy one unanimous one,easy,one,unanimous,one,2
easy transition transportation hub,easy,transition,transportation,hub,3
eater just break go,eater,just,break,go,2
eating right youre poor,eating,right,youre,poor,2
ebrahimi regis jesuit shanahan,ebrahimi,regis,jesuit,shanahan,2
economic armageddon world didnt,economic,armageddon,world,didnt,2
economic recovery likely modest,economic,recovery,likely,modest,2
economies johnson said issue,economies,johnson,said,issue,2
ed grewach democrat running,ed,grewach,democrat,running,2
edith windsor sued federal,edith,windsor,sued,federal,2
edition new yorker contains,edition,new,yorker,contains,2
editor john kroll said,editor,john,kroll,said,2
education commissioner bret schundler’s,education,commissioner,bret,schundler’s,3
education former gov tom,education,former,gov,tom,3
educationdid know heritage oak,educationdid,know,heritage,oak,2
effectively keeping pirates balance,effectively,keeping,pirates,balance,2
effects drug fu established,effects,drug,fu,established,2
effort launched september company,effort,launched,september,company,2
effort school make philanthropy,effort,school,make,philanthropy,2
efforts issue showed mayor,efforts,issue,showed,mayor,2
eicher initially filed complaint,eicher,initially,filed,complaint,2
eight energy companies got,eight,energy,companies,got,2
eight games days he’s,eight,games,days,he’s,2
eight games november severe,eight,games,november,severe,2
eight members students play,eight,members,students,play,2
eight people now gang,eight,people,now,gang,2
eight thirddown opportunities second,eight,thirddown,opportunities,second,2
eighthgrader school shot chest,eighthgrader,school,shot,chest,2
eisenhower president astonishing accomplishment,eisenhower,president,astonishing,accomplishment,2
either government estimated grecos,either,government,estimated,grecos,2
either sick near death,either,sick,near,death,2
elbow infection averaging points,elbow,infection,averaging,points,2
elderly fixed incomes keep,elderly,fixed,incomes,keep,2
eldest daughter robin blakeslee,eldest,daughter,robin,blakeslee,2
elected marion county superior,elected,marion,county,superior,2
election day also bring,election,day,also,bring,2
electric tours collaborated legendary,electric,tours,collaborated,legendary,2
