,X1,X2,X3,word,frequency
for_more_than,for,more,than,for_more_than,16
for_more_information,for,more,information,for_more_information,13
for_some_reason,for,some,reason,for_some_reason,110
for_some_reason1,for,some,reason,for_some_reason,79
for_the_follow,for,the,follow,for_the_follow,776
for_the_rt,for,the,rt,for_the_rt,457
for_the_first,for,the,first,for_the_first,276
for_the_first1,for,the,first,for_the_first,232
for_the_mention,for,the,mention,for_the_mention,167
for_the_next1,for,the,next,for_the_next,148
for_the_next,for,the,next,for_the_next,133
for_the_shout,for,the,shout,for_the_shout,122
for_the_#ff,for,the,#ff,for_the_#ff,120
for_the_last,for,the,last,for_the_last,110
for_the_past,for,the,past,for_the_past,98
for_the_most,for,the,most,for_the_most,98
for_the_day1,for,the,day,for_the_day,96
for_the_retweet,for,the,retweet,for_the_retweet,92
for_the_weekend,for,the,weekend,for_the_weekend,91
for_the_rest,for,the,rest,for_the_rest,79
for_the_day,for,the,day,for_the_day,78
for_the_support,for,the,support,for_the_support,77
for_the_new,for,the,new,for_the_new,76
for_the_rest1,for,the,rest,for_the_rest,74
for_the_love,for,the,love,for_the_love,73
for_the_first2,for,the,first,for_the_first,39
for_the_state,for,the,state,for_the_state,7
for_the_past1,for,the,past,for_the_past,7
for_the_rest2,for,the,rest,for_the_rest,5
for_the_u.s,for,the,u.s,for_the_u.s,5
for_those_of,for,those,of,for_those_of,110
for_those_who,for,those,who,for_those_who,104
for_us_to,for,us,to,for_us_to,76
for_you_to1,for,you,to,for_you_to,115
for_you_to,for,you,to,for_you_to,93
for_your_support,for,your,support,for_your_support,73
forward_to_seeing,forward,to,seeing,forward_to_seeing,139
forward_to_the,forward,to,the,forward_to_the,123
forward_to_it,forward,to,it,forward_to_it,90
forward_to_your,forward,to,your,forward_to_your,72
founder_of_the,founder,of,the,founder_of_the,6
from_9_a.m,from,9,a.m,from_9_a.m,5
from_one_of,from,one,of,from_one_of,5
from_the_start,from,the,start,from_the_start,5
front_of_the,front,of,the,front_of_the,123
front_of_the1,front,of,the,front_of_the,7
get_back_to1,get,back,to,get_back_to,101
get_back_to,get,back,to,get_back_to,81
get_out_of1,get,out,of,get_out_of,114
get_out_of,get,out,of,get_out_of,89
get_ready_for,get,ready,for,get_ready_for,101
get_rid_of,get,rid,of,get_rid_of,89
get_rid_of1,get,rid,of,get_rid_of,66
get_to_the,get,to,the,get_to_the,89
get_to_see,get,to,see,get_to_see,78
get_to_the1,get,to,the,get_to_the,9
getting_ready_for,getting,ready,for,getting_ready_for,132
getting_ready_to,getting,ready,to,getting_ready_to,126
give_it_a,give,it,a,give_it_a,78
give_me_a,give,me,a,give_me_a,108
give_you_a,give,you,a,give_you_a,71
give_you_a1,give,you,a,give_you_a,58
glad_to_hear,glad,to,hear,glad_to_hear,83
glad_to_see,glad,to,see,glad_to_see,65
glad_to_be,glad,to,be,glad_to_be,56
glad_you_enjoyed,glad,you,enjoyed,glad_you_enjoyed,67
go_back_to1,go,back,to,go_back_to,148
go_back_to,go,back,to,go_back_to,105
go_to_the1,go,to,the,go_to_the,212
go_to_the,go,to,the,go_to_the,200
go_to_sleep,go,to,sleep,go_to_sleep,118
go_to_bed,go,to,bed,go_to_bed,114
go_to_school,go,to,school,go_to_school,75
go_to_the2,go,to,the,go_to_the,7
goal_is_to,goal,is,to,goal_is_to,6
going_to_be1,going,to,be,going_to_be,750
going_to_be,going,to,be,going_to_be,480
going_to_the,going,to,the,going_to_the,230
going_to_have,going,to,have,going_to_have,125
going_to_get1,going,to,get,going_to_get,103
going_to_do,going,to,do,going_to_do,100
going_to_have1,going,to,have,going_to_have,96
going_to_get,going,to,get,going_to_get,92
going_to_bed,going,to,bed,going_to_bed,92
going_to_see,going,to,see,going_to_see,88
going_to_do1,going,to,do,going_to_do,80
going_to_go,going,to,go,going_to_go,65
going_to_make,going,to,make,going_to_make,59
going_to_be2,going,to,be,going_to_be,41
going_to_do2,going,to,do,going_to_do,9
going_to_get2,going,to,get,going_to_get,8
going_to_happen,going,to,happen,going_to_happen,8
going_to_make1,going,to,make,going_to_make,7
going_to_have2,going,to,have,going_to_have,7
gonna_be_a,gonna,be,a,gonna_be_a,140
good_for_you,good,for,you,good_for_you,58
good_luck_to,good,luck,to,good_luck_to,100
good_luck_with,good,luck,with,good_luck_with,57
good_to_see,good,to,see,good_to_see,88
good_to_be,good,to,be,good_to_be,76
gov_chris_christie,gov,chris,christie,gov_chris_christie,9
gov_ted_strickland,gov,ted,strickland,gov_ted_strickland,5
great_to_see,great,to,see,great_to_see,102
great_way_to,great,way,to,great_way_to,75
grew_up_in,grew,up,in,grew_up_in,9
ha_ha_ha,ha,ha,ha,ha_ha_ha,119
had_a_great,had,a,great,had_a_great,304
had_a_good,had,a,good,had_a_good,78
had_no_idea,had,no,idea,had_no_idea,75
had_no_idea1,had,no,idea,had_no_idea,56
had_no_comment,had,no,comment,had_no_comment,5
had_to_be,had,to,be,had_to_be,123
had_to_go,had,to,go,had_to_go,69
had_to_be1,had,to,be,had_to_be,5
had_to_do,had,to,do,had_to_do,5
half_of_the,half,of,the,half_of_the,94
half_of_the1,half,of,the,half_of_the,6
hall_of_fame,hall,of,fame,hall_of_fame,15
happy_birthday_to,happy,birthday,to,happy_birthday_to,166
happy_mothers_day,happy,mothers,day,happy_mothers_day,155
happy_mother's_day,happy,mother's,day,happy_mother's_day,159
happy_new_year,happy,new,year,happy_new_year,177
has_become_a,has,become,a,has_become_a,9
has_been_a,has,been,a,has_been_a,180
has_been_a1,has,been,a,has_been_a,58
has_been_a2,has,been,a,has_been_a,10
has_been_in,has,been,in,has_been_in,7
has_been_the,has,been,the,has_been_the,5
has_more_than,has,more,than,has_more_than,8
has_never_been,has,never,been,has_never_been,6
has_said_he,has,said,he,has_said_he,6
has_to_be,has,to,be,has_to_be,126
has_to_be1,has,to,be,has_to_be,95
has_to_be2,has,to,be,has_to_be,5
has_yet_to,has,yet,to,has_yet_to,7
hate_it_when,hate,it,when,hate_it_when,66
have_a_great1,have,a,great,have_a_great,566
have_a_good,have,a,good,have_a_good,229
have_a_lot,have,a,lot,have_a_lot,104
have_a_great,have,a,great,have_a_great,76
have_a_wonderful,have,a,wonderful,have_a_wonderful,70
have_a_lot1,have,a,lot,have_a_lot,63
have_a_new,have,a,new,have_a_new,58
have_a_lot2,have,a,lot,have_a_lot,10
have_a_different,have,a,different,have_a_different,5
have_been_a,have,been,a,have_been_a,113
have_been_a1,have,been,a,have_been_a,8
have_been_in,have,been,in,have_been_in,7
have_no_idea1,have,no,idea,have_no_idea,128
have_no_idea,have,no,idea,have_no_idea,111
have_so_much,have,so,much,have_so_much,73
have_the_best,have,the,best,have_the_best,62
have_to_be,have,to,be,have_to_be,229
have_to_be1,have,to,be,have_to_be,168
have_to_go1,have,to,go,have_to_go,160
have_to_say,have,to,say,have_to_say,141
have_to_do,have,to,do,have_to_do,137
have_to_do1,have,to,do,have_to_do,127
have_to_get,have,to,get,have_to_get,92
have_to_go,have,to,go,have_to_go,89
have_to_say1,have,to,say,have_to_say,81
have_to_work,have,to,work,have_to_work,58
have_to_be2,have,to,be,have_to_be,10
have_to_make,have,to,make,have_to_make,7
have_to_do2,have,to,do,have_to_do,6
have_to_go2,have,to,go,have_to_go,5
have_you_been,have,you,been,have_you_been,114
have_you_ever,have,you,ever,have_you_ever,70
have_you_seen,have,you,seen,have_you_seen,59
having_a_great,having,a,great,having_a_great,96
he_and_his,he,and,his,he_and_his,7
he_believes_that,he,believes,that,he_believes_that,5
he_did_not,he,did,not,he_did_not,16
he_does_not,he,does,not,he_does_not,9
he_had_no,he,had,no,he_had_no,6
he_has_been,he,has,been,he_has_been,11
he_is_a,he,is,a,he_is_a,90
he_said_he,he,said,he,he_said_he,22
he_said_â,he,said,â,he_said_â,10
he_said_it's,he,said,it's,he_said_it's,9
he_said_the,he,said,the,he_said_the,9
he_said_i,he,said,i,he_said_i,8
he_said_that,he,said,that,he_said_that,6
he_said_in,he,said,in,he_said_in,6
he_said_but,he,said,but,he_said_but,5
he_said_and,he,said,and,he_said_and,5
he_tried_to,he,tried,to,he_tried_to,8
he_wants_to,he,wants,to,he_wants_to,6
he_was_a,he,was,a,he_was_a,114
he_was_a1,he,was,a,he_was_a,10
he_was_the,he,was,the,he_was_the,7
he_was_on,he,was,on,he_was_on,7
he_was_arrested,he,was,arrested,he_was_arrested,6
he_would_have,he,would,have,he_would_have,5
heâ_s_been,heâ,s,been,heâ_s_been,6
head_of_the,head,of,the,head_of_the,7
here_are_some,here,are,some,here_are_some,103
here_are_a,here,are,a,here_are_a,79
here_are_the,here,are,the,here_are_the,70
here_i_come,here,i,come,here_i_come,60
here_is_a,here,is,a,here_is_a,128
here_is_the,here,is,the,here_is_the,92
here_we_go,here,we,go,here_we_go,77
he's_got_a,he's,got,a,he's_got_a,5
high_school_in,high,school,in,high_school_in,6
him_in_the,him,in,the,him_in_the,6
him_to_the,him,to,the,him_to_the,7
his_wife_and,his,wife,and,his_wife_and,7
hit_me_up,hit,me,up,hit_me_up,108
hope_all_is,hope,all,is,hope_all_is,83
hope_to_see,hope,to,see,hope_to_see,179
hope_you_have,hope,you,have,hope_you_have,135
hope_you_are,hope,you,are,hope_you_are,87
hope_you_had,hope,you,had,hope_you_had,73
how_are_you,how,are,you,how_are_you,315
how_can_i,how,can,i,how_can_i,62
how_did_you,how,did,you,how_did_you,69
how_do_you1,how,do,you,how_do_you,196
how_do_you,how,do,you,how_do_you,116
how_do_i,how,do,i,how_do_i,61
how_much_i1,how,much,i,how_much_i,99
how_much_i,how,much,i,how_much_i,77
i_am_not,i,am,not,i_am_not,348
i_am_a,i,am,a,i_am_a,212
i_am_so1,i,am,so,i_am_so,205
i_am_so,i,am,so,i_am_so,165
i_am_a1,i,am,a,i_am_a,162
i_am_going,i,am,going,i_am_going,159
i_am_not1,i,am,not,i_am_not,152
i_am_going1,i,am,going,i_am_going,133
i_am_sure,i,am,sure,i_am_sure,109
i_am_in,i,am,in,i_am_in,95
i_am_still,i,am,still,i_am_still,82
i_am_the,i,am,the,i_am_the,79
i_am_in1,i,am,in,i_am_in,70
i_am_the1,i,am,the,i_am_the,66
i_am_not2,i,am,not,i_am_not,6
i_believe_in,i,believe,in,i_believe_in,6
i_believe_that,i,believe,that,i_believe_that,5
i_can_do1,i,can,do,i_can_do,130
i_can_get1,i,can,get,i_can_get,124
i_can_see,i,can,see,i_can_see,90
i_can_do,i,can,do,i_can_do,89
i_can_get,i,can,get,i_can_get,86
i_can_see1,i,can,see,i_can_see,75
i_can_be,i,can,be,i_can_be,69
i_can_tell,i,can,tell,i_can_tell,68
i_can_do2,i,can,do,i_can_do,6
i_cant_wait,i,cant,wait,i_cant_wait,72
i_can't_wait1,i,can't,wait,i_can't_wait,304
i_can't_believe1,i,can't,believe,i_can't_believe,138
i_can't_wait,i,can't,wait,i_can't_wait,119
i_can't_believe,i,can't,believe,i_can't_believe,77
i_can't_even,i,can't,even,i_can't_even,55
i_could_have,i,could,have,i_could_have,92
i_could_not,i,could,not,i_could_not,74
i_could_see,i,could,see,i_could_see,73
i_could_be,i,could,be,i_could_be,57
i_decided_to,i,decided,to,i_decided_to,289
i_did_not,i,did,not,i_did_not,141
i_didn't_know1,i,didn't,know,i_didn't_know,108
i_didn't_have,i,didn't,have,i_didn't_have,98
i_didn't_want,i,didn't,want,i_didn't_want,95
i_didn't_know,i,didn't,know,i_didn't_know,91
i_didn't_want1,i,didn't,want,i_didn't_want,7
i_do_not,i,do,not,i_do_not,184
i_do_not1,i,do,not,i_do_not,86
i_do_have,i,do,have,i_do_have,69
i_donâ_t,i,donâ,t,i_donâ_t,8
i_don't_know,i,don't,know,i_don't_know,488
i_don't_know1,i,don't,know,i_don't_know,384
i_don't_think,i,don't,think,i_don't_think,276
i_don't_think1,i,don't,think,i_don't_think,265
i_don't_have,i,don't,have,i_don't_have,226
i_don't_want,i,don't,want,i_don't_want,215
i_don't_have1,i,don't,have,i_don't_have,208
i_don't_want1,i,don't,want,i_don't_want,159
i_don't_like1,i,don't,like,i_don't_like,125
i_don't_even,i,don't,even,i_don't_even,110
i_don't_care,i,don't,care,i_don't_care,93
i_don't_like,i,don't,like,i_don't_like,92
i_don't_get,i,don't,get,i_don't_get,92
i_don't_really,i,don't,really,i_don't_really,85
i_don't_understand,i,don't,understand,i_don't_understand,71
i_don't_wanna,i,don't,wanna,i_don't_wanna,68
i_don't_know2,i,don't,know,i_don't_know,25
i_don't_think2,i,don't,think,i_don't_think,19
i_don't_want2,i,don't,want,i_don't_want,9
i_don't_have2,i,don't,have,i_don't_have,5
i_don't_like2,i,don't,like,i_don't_like,5
i_ended_up,i,ended,up,i_ended_up,88
i_feel_like1,i,feel,like,i_feel_like,392
i_feel_like,i,feel,like,i_feel_like,193
i_feel_so,i,feel,so,i_feel_so,76
i_feel_like2,i,feel,like,i_feel_like,6
i_felt_like,i,felt,like,i_felt_like,90
i_found_myself,i,found,myself,i_found_myself,80
i_get_a,i,get,a,i_get_a,160
i_get_to1,i,get,to,i_get_to,136
i_get_to,i,get,to,i_get_to,84
i_go_to,i,go,to,i_go_to,87
i_got_a1,i,got,a,i_got_a,166
i_got_to,i,got,to,i_got_to,121
i_got_a,i,got,a,i_got_a,91
i_got_to1,i,got,to,i_got_to,72
i_got_my,i,got,my,i_got_my,62
i_got_the,i,got,the,i_got_the,55
i_guess_i1,i,guess,i,i_guess_i,78
i_guess_i,i,guess,i,i_guess_i,75
i_had_to,i,had,to,i_had_to,457
i_had_a,i,had,a,i_had_a,348
i_had_a1,i,had,a,i_had_a,260
i_had_to1,i,had,to,i_had_to,177
i_had_the,i,had,the,i_had_the,131
i_had_been,i,had,been,i_had_been,103
i_had_no,i,had,no,i_had_no,78
i_had_the1,i,had,the,i_had_the,60
i_had_a2,i,had,a,i_had_a,9
i_hate_when,i,hate,when,i_hate_when,159
i_hate_it,i,hate,it,i_hate_it,64
i_hate_that,i,hate,that,i_hate_that,59
i_hate_you,i,hate,you,i_hate_you,55
i_have_a1,i,have,a,i_have_a,593
i_have_to,i,have,to,i_have_to,563
i_have_to1,i,have,to,i_have_to,498
i_have_a,i,have,a,i_have_a,477
i_have_been,i,have,been,i_have_been,473
i_have_no,i,have,no,i_have_no,194
i_have_no1,i,have,no,i_have_no,186
i_have_been1,i,have,been,i_have_been,133
i_have_never,i,have,never,i_have_never,120
i_have_had,i,have,had,i_have_had,115
i_have_the1,i,have,the,i_have_the,114
i_have_not,i,have,not,i_have_not,99
i_have_the,i,have,the,i_have_the,98
i_have_an,i,have,an,i_have_an,79
i_have_ever,i,have,ever,i_have_ever,71
i_have_a2,i,have,a,i_have_a,9
i_have_to2,i,have,to,i_have_to,6
i_haven't_been,i,haven't,been,i_haven't_been,81
i_haven't_seen,i,haven't,seen,i_haven't_seen,59
i_hope_you1,i,hope,you,i_hope_you,233
i_hope_you,i,hope,you,i_hope_you,195
i_hope_to,i,hope,to,i_hope_to,83
i_hope_that,i,hope,that,i_hope_that,74
i_hope_i,i,hope,i,i_hope_i,72
i_just_want,i,just,want,i_just_want,163
i_just_got,i,just,got,i_just_got,137
i_just_saw,i,just,saw,i_just_saw,96
i_just_wanna,i,just,wanna,i_just_wanna,85
i_just_don't,i,just,don't,i_just_don't,68
i_just_need,i,just,need,i_just_need,57
i_knew_that,i,knew,that,i_knew_that,68
i_know_that,i,know,that,i_know_that,234
i_know_i,i,know,i,i_know_i,197
i_know_i1,i,know,i,i_know_i,190
i_know_you,i,know,you,i_know_you,111
i_know_right,i,know,right,i_know_right,83
i_know_it,i,know,it,i_know_it,82
i_know_i'm,i,know,i'm,i_know_i'm,81
i_know_what,i,know,what,i_know_what,78
i_know_that1,i,know,that,i_know_that,75
i_know_it1,i,know,it,i_know_it,68
i_know_it's,i,know,it's,i_know_it's,61
i_like_to,i,like,to,i_like_to,127
i_like_it,i,like,it,i_like_it,118
i_like_the1,i,like,the,i_like_the,95
i_like_to1,i,like,to,i_like_to,95
i_like_the,i,like,the,i_like_the,70
i_like_that,i,like,that,i_like_that,61
i_live_in,i,live,in,i_live_in,78
i_look_forward,i,look,forward,i_look_forward,97
i_love_you1,i,love,you,i_love_you,823
i_love_the1,i,love,the,i_love_the,234
i_love_it1,i,love,it,i_love_it,232
i_love_my,i,love,my,i_love_my,180
i_love_the,i,love,the,i_love_the,170
i_love_that,i,love,that,i_love_that,155
i_love_your,i,love,your,i_love_your,114
i_love_this1,i,love,this,i_love_this,95
i_love_u,i,love,u,i_love_u,92
i_love_how,i,love,how,i_love_how,90
i_love_to,i,love,to,i_love_to,75
i_love_it,i,love,it,i_love_it,74
i_love_you,i,love,you,i_love_you,71
i_love_this,i,love,this,i_love_this,69
i_love_when,i,love,when,i_love_when,61
i_love_her,i,love,her,i_love_her,61
i_made_a,i,made,a,i_made_a,84
i_managed_to,i,managed,to,i_managed_to,73
i_may_have,i,may,have,i_may_have,56
i_miss_you,i,miss,you,i_miss_you,287
i_miss_my,i,miss,my,i_miss_my,82
i_need_to1,i,need,to,i_need_to,503
i_need_to,i,need,to,i_need_to,303
i_need_a,i,need,a,i_need_a,275
i_need_some,i,need,some,i_need_some,59
i_needed_to,i,needed,to,i_needed_to,110
i_really_want,i,really,want,i_really_want,88
i_really_like,i,really,like,i_really_like,84
i_really_don't,i,really,don't,i_really_don't,72
i_really_like1,i,really,like,i_really_like,56
i_see_you,i,see,you,i_see_you,128
i_should_have,i,should,have,i_should_have,82
i_should_be,i,should,be,i_should_be,62
i_should_have1,i,should,have,i_should_have,57
i_still_have,i,still,have,i_still_have,83
i_still_have1,i,still,have,i_still_have,72
i_think_i1,i,think,i,i_think_i,374
i_think_i,i,think,i,i_think_i,263
i_think_that,i,think,that,i_think_that,166
i_think_it,i,think,it,i_think_it,163
i_think_the,i,think,the,i_think_the,148
i_think_it's,i,think,it's,i_think_it's,140
i_think_it's1,i,think,it's,i_think_it's,137
i_think_i'm,i,think,i'm,i_think_i'm,135
i_think_you,i,think,you,i_think_you,126
i_think_it1,i,think,it,i_think_it,108
i_think_the1,i,think,the,i_think_the,102
i_think_this,i,think,this,i_think_this,99
i_think_we1,i,think,we,i_think_we,80
i_think_we,i,think,we,i_think_we,79
i_think_that1,i,think,that,i_think_that,73
i_think_its,i,think,its,i_think_its,56
i_think_it's2,i,think,it's,i_think_it's,12
i_think_we2,i,think,we,i_think_we,10
i_think_it2,i,think,it,i_think_it,7
i_think_i2,i,think,i,i_think_i,6
i_think_the2,i,think,the,i_think_the,6
i_think_about,i,think,about,i_think_about,5
i_thought_i,i,thought,i,i_thought_i,148
i_thought_it,i,thought,it,i_thought_it,144
i_thought_i1,i,thought,i,i_thought_i,107
i_thought_it1,i,thought,it,i_thought_it,98
i_thought_i'd,i,thought,i'd,i_thought_i'd,78
i_thought_you,i,thought,you,i_thought_you,73
i_told_him,i,told,him,i_told_him,73
i_took_a,i,took,a,i_took_a,79
i_tried_to,i,tried,to,i_tried_to,108
i_try_to,i,try,to,i_try_to,110
i_try_to1,i,try,to,i_try_to,60
i_used_to,i,used,to,i_used_to,150
i_used_to1,i,used,to,i_used_to,141
i_used_the,i,used,the,i_used_the,70
i_wanna_go,i,wanna,go,i_wanna_go,80
i_wanna_see,i,wanna,see,i_wanna_see,57
i_want_to,i,want,to,i_want_to,652
i_want_to1,i,want,to,i_want_to,651
i_want_a,i,want,a,i_want_a,154
i_want_some,i,want,some,i_want_some,58
i_want_to2,i,want,to,i_want_to,12
i_wanted_to,i,wanted,to,i_wanted_to,433
i_wanted_to1,i,wanted,to,i_wanted_to,109
i_wanted_to2,i,wanted,to,i_wanted_to,10
i_was_a,i,was,a,i_was_a,220
i_was_in,i,was,in,i_was_in,205
i_was_going,i,was,going,i_was_going,166
i_was_just,i,was,just,i_was_just,142
i_was_a1,i,was,a,i_was_a,134
i_was_so,i,was,so,i_was_so,112
i_was_able,i,was,able,i_was_able,111
i_was_not,i,was,not,i_was_not,101
i_was_in1,i,was,in,i_was_in,100
i_was_like,i,was,like,i_was_like,77
i_was_there,i,was,there,i_was_there,71
i_was_going1,i,was,going,i_was_going,71
i_was_thinking,i,was,thinking,i_was_thinking,71
i_was_at,i,was,at,i_was_at,62
i_was_so1,i,was,so,i_was_so,59
i_was_a2,i,was,a,i_was_a,5
i_went_to,i,went,to,i_went_to,210
i_went_to1,i,went,to,i_went_to,103
i_will_be1,i,will,be,i_will_be,262
i_will_be,i,will,be,i_will_be,257
i_will_have,i,will,have,i_will_have,71
i_will_never,i,will,never,i_will_never,68
i_wish_i1,i,wish,i,i_wish_i,361
i_wish_i,i,wish,i,i_wish_i,107
i_wish_you,i,wish,you,i_wish_you,62
i_woke_up,i,woke,up,i_woke_up,63
i_wonder_if1,i,wonder,if,i_wonder_if,124
i_wonder_if,i,wonder,if,i_wonder_if,77
i_wonder_what,i,wonder,what,i_wonder_what,67
i_won't_be,i,won't,be,i_won't_be,62
i_would_have,i,would,have,i_would_have,208
i_would_love1,i,would,love,i_would_love,151
i_would_like,i,would,like,i_would_like,141
i_would_like1,i,would,like,i_would_like,126
i_would_be,i,would,be,i_would_be,119
i_would_have1,i,would,have,i_would_have,118
i_would_be1,i,would,be,i_would_be,85
i_would_love,i,would,love,i_would_love,73
i_would_have2,i,would,have,i_would_have,9
i'd_like_to,i'd,like,to,i'd_like_to,128
i'd_like_to1,i'd,like,to,i'd_like_to,113
i'd_like_to2,i'd,like,to,i'd_like_to,7
i'd_love_to1,i'd,love,to,i'd_love_to,97
i'd_love_to,i'd,love,to,i'd_love_to,78
if_i_can1,if,i,can,if_i_can,110
if_i_had,if,i,had,if_i_had,95
if_i_was,if,i,was,if_i_was,81
if_i_was1,if,i,was,if_i_was,81
if_i_had1,if,i,had,if_i_had,80
if_i_could1,if,i,could,if_i_could,79
if_i_could,if,i,could,if_i_could,75
if_i_were,if,i,were,if_i_were,73
if_i_can,if,i,can,if_i_can,72
if_it_was,if,it,was,if_it_was,78
if_it_is,if,it,is,if_it_is,69
if_there_is,if,there,is,if_there_is,81
if_there_are,if,there,are,if_there_are,5
if_you_are,if,you,are,if_you_are,385
if_you_have,if,you,have,if_you_have,293
if_you_want1,if,you,want,if_you_want,270
if_you_have1,if,you,have,if_you_have,259
if_you_want,if,you,want,if_you_want,247
if_you_are1,if,you,are,if_you_are,245
if_you_don't,if,you,don't,if_you_don't,199
if_you_don't1,if,you,don't,if_you_don't,194
if_you_need,if,you,need,if_you_need,125
if_you_can1,if,you,can,if_you_can,120
if_you_can,if,you,can,if_you_can,95
if_you_do,if,you,do,if_you_do,81
if_you_could,if,you,could,if_you_could,77
if_you_love,if,you,love,if_you_love,76
if_you_like,if,you,like,if_you_like,75
if_you_were,if,you,were,if_you_were,73
if_you_were1,if,you,were,if_you_were,73
if_you_do1,if,you,do,if_you_do,72
if_you_haven't,if,you,haven't,if_you_haven't,68
if_you_can't,if,you,can't,if_you_can't,65
if_you_like1,if,you,like,if_you_like,58
if_you_think,if,you,think,if_you_think,56
i'll_be_there,i'll,be,there,i'll_be_there,88
i'll_have_to,i'll,have,to,i'll_have_to,55
im_going_to,im,going,to,im_going_to,91
i'm_about_to,i'm,about,to,i'm_about_to,94
i'm_going_to1,i'm,going,to,i'm_going_to,493
i'm_going_to,i'm,going,to,i'm_going_to,340
i'm_going_to2,i'm,going,to,i'm_going_to,6
i'm_in_the,i'm,in,the,i'm_in_the,68
i'm_not_sure,i'm,not,sure,i'm_not_sure,203
i'm_not_sure1,i'm,not,sure,i'm_not_sure,91
i'm_not_a,i'm,not,a,i'm_not_a,75
i'm_pretty_sure,i'm,pretty,sure,i'm_pretty_sure,80
i'm_ready_to,i'm,ready,to,i'm_ready_to,56
i'm_so_excited,i'm,so,excited,i'm_so_excited,64
i'm_trying_to1,i'm,trying,to,i'm_trying_to,106
i'm_trying_to,i'm,trying,to,i'm_trying_to,75
in_a_few1,in,a,few,in_a_few,136
in_a_while,in,a,while,in_a_while,120
in_a_way,in,a,way,in_a_way,113
in_a_few,in,a,few,in_a_few,93
in_a_large,in,a,large,in_a_large,91
in_a_small,in,a,small,in_a_small,86
in_a_row,in,a,row,in_a_row,86
in_a_long,in,a,long,in_a_long,61
in_a_statement,in,a,statement,in_a_statement,19
in_a_city,in,a,city,in_a_city,7
in_a_small1,in,a,small,in_a_small,6
in_a_few2,in,a,few,in_a_few,6
in_a_row1,in,a,row,in_a_row,5
in_addition_to,in,addition,to,in_addition_to,140
in_addition_to1,in,addition,to,in_addition_to,18
in_an_interview,in,an,interview,in_an_interview,10
in_an_email,in,an,email,in_an_email,6
in_any_of,in,any,of,in_any_of,5
in_charge_of,in,charge,of,in_charge_of,5
in_each_of,in,each,of,in_each_of,5
in_favor_of,in,favor,of,in_favor_of,8
in_front_of,in,front,of,in_front_of,313
in_front_of1,in,front,of,in_front_of,199
in_front_of2,in,front,of,in_front_of,17
in_his_own,in,his,own,in_his_own,5
in_honor_of,in,honor,of,in_honor_of,57
in_los_angeles,in,los,angeles,in_los_angeles,17
in_love_with1,in,love,with,in_love_with,170
in_love_with,in,love,with,in_love_with,141
in_love_with2,in,love,with,in_love_with,6
in_many_ways,in,many,ways,in_many_ways,5
in_my_life,in,my,life,in_my_life,214
in_my_life1,in,my,life,in_my_life,180
in_my_head1,in,my,head,in_my_head,124
in_my_head,in,my,head,in_my_head,118
in_my_opinion,in,my,opinion,in_my_opinion,93
in_my_mind,in,my,mind,in_my_mind,79
in_my_room,in,my,room,in_my_room,57
in_new_york,in,new,york,in_new_york,98
in_new_york1,in,new,york,in_new_york,59
in_new_york2,in,new,york,in_new_york,14
in_new_jersey,in,new,jersey,in_new_jersey,8
in_one_of,in,one,of,in_one_of,100
in_one_of1,in,one,of,in_one_of,9
in_order_to,in,order,to,in_order_to,398
in_order_to1,in,order,to,in_order_to,69
in_order_to2,in,order,to,in_order_to,12
in_other_words,in,other,words,in_other_words,112
in_recent_years,in,recent,years,in_recent_years,16
in_response_to,in,response,to,in_response_to,5
in_san_diego,in,san,diego,in_san_diego,79
in_st_louis,in,st,louis,in_st_louis,12
in_terms_of,in,terms,of,in_terms_of,164
in_terms_of1,in,terms,of,in_terms_of,16
in_the_world,in,the,world,in_the_world,367
in_the_world1,in,the,world,in_the_world,346
in_the_middle,in,the,middle,in_the_middle,249
in_the_past,in,the,past,in_the_past,232
in_the_same,in,the,same,in_the_same,230
in_the_morning1,in,the,morning,in_the_morning,211
in_the_first,in,the,first,in_the_first,196
in_the_morning,in,the,morning,in_the_morning,185
in_the_end,in,the,end,in_the_end,180
in_the_last,in,the,last,in_the_last,141
in_the_way,in,the,way,in_the_way,126
in_the_future,in,the,future,in_the_future,124
in_the_back,in,the,back,in_the_back,123
in_the_middle1,in,the,middle,in_the_middle,116
in_the_process,in,the,process,in_the_process,115
in_the_house,in,the,house,in_the_house,108
in_the_next,in,the,next,in_the_next,107
in_the_same1,in,the,same,in_the_same,105
in_the_uk,in,the,uk,in_the_uk,93
in_the_early,in,the,early,in_the_early,91
in_the_meantime,in,the,meantime,in_the_meantime,91
in_the_new,in,the,new,in_the_new,90
in_the_past1,in,the,past,in_the_past,86
in_the_next1,in,the,next,in_the_next,85
in_the_face1,in,the,face,in_the_face,84
in_the_air,in,the,air,in_the_air,81
in_the_midst,in,the,midst,in_the_midst,81
in_the_house1,in,the,house,in_the_house,81
in_the_country,in,the,country,in_the_country,80
in_the_face,in,the,face,in_the_face,79
in_the_kitchen,in,the,kitchen,in_the_kitchen,78
in_the_first1,in,the,first,in_the_first,78
in_the_car,in,the,car,in_the_car,77
in_the_book,in,the,book,in_the_book,77
in_the_car1,in,the,car,in_the_car,75
in_the_united,in,the,united,in_the_united,74
in_the_studio,in,the,studio,in_the_studio,73
in_the_end1,in,the,end,in_the_end,71
in_the_right,in,the,right,in_the_right,69
